ST	wzi	KL
370	370	KL137
371	371	KL138
372	372	KL139
373	373	KL140
374	374	KL140
375	375	KL142
376	376	KL142
377	377	KL142
378	378	KL142
379	379	KL143
380	380	KL158
381	381	KL159
382	382	KL101
383	383	KL102
384	384	KL102
385	385	KL22/KL37
386	386	KL?
387	387	KL124
388	388	KL63
389	389	KL?
390	390	KL22/KL37
391	391	KL123
392	392	KL17
393	393	KL?
394	394	KL153
395	395	KL?
396	396	KL?
397	397	KL127
398	398	KL67 (KL146)
399	399	KL130
400	400	KL?
401	401	KL22/KL37
402	402	KL?
403	403	KL25
404	404	KL?
405	405	KL123
406	406	KL3
407	407	KL57
408	408	KL2
409	409	KL?
410	410	KL30
411	411	KL154
412	412	KL61
413	413	KL61
414	414	KL142
415	415	KL54
416	416	KL142
417	417	KL151 (KL46)
418	418	KL48
419	419	KL7
420	420	KL10
421	421	KL22/KL37
422	422	KL126
423	423	KL56
424	424	KL151
425	425	KL127
426	426	KL?
427	427	KL151
428	428	KL133
429	429	KL105
430	430	KL101
431	431	KL14
432	432	KL64
433	433	KL35
434	434	KL8
435	435	KL149
436	436	KL28
437	437	KL121
438	438	KL144
439	439	KL144
440	440	KL151
441	441	KL46
442	442	KL?
443	443	KL10
444	444	KL149
445	445	KL141
446	446	KL105
447	447	KL124
448	448	KL?
449	449	KL70
450	450	KL2
451	451	KL?
452	452	KL149
453	453	KL?
454	454	KL?
455	455	KL?
456	456	KL?
457	457	KL?
458	458	KL?
459	459	KL?
460	460	KL?
461	461	KL?
462	462	KL?
463	463	KL?
464	464	KL?
465	465	KL?
466	466	KL?
467	467	KL?
468	468	KL?
469	469	KL?
470	470	KL?
471	471	KL?
472	472	KL?
473	473	KL?
474	474	KL?
475	475	KL?
476	476	KL?
477	477	KL?
478	478	KL?
479	479	KL?
480	480	KL?
481	481	KL?
482	482	KL?
483	483	KL?
484	484	KL?
485	485	KL?
486	486	KL?
487	487	KL?
488	488	KL?
489	489	KL?
490	490	KL?
491	491	KL?
492	492	KL?
493	493	KL?
494	494	KL?
495	495	KL?
496	496	KL?
497	497	KL?
498	498	KL?
499	499	KL?
500	500	KL?
501	501	KL?
502	502	KL?
503	503	KL?
504	504	KL?
505	505	KL?
506	506	KL?
507	507	KL?
508	508	KL?
509	509	KL?
510	510	KL?
511	511	KL?
512	512	KL?
513	513	KL?
514	514	KL?
515	515	KL?
516	516	KL?
517	517	KL?
518	518	KL?
519	519	KL?
520	520	KL?
521	521	KL?
522	522	KL?
523	523	KL?
524	524	KL?
525	525	KL?
526	526	KL?
527	527	KL?
528	528	KL?
529	529	KL?
530	530	KL?
531	531	KL?
532	532	KL?
533	533	KL?
534	534	KL?
535	535	KL?
536	536	KL?
537	537	KL?
538	538	KL?
539	539	KL?
540	540	KL?
541	541	KL?
542	542	KL?
543	543	KL?
544	544	KL?
545	545	KL?
546	546	KL?
547	547	KL?
548	548	KL?
549	549	KL?
550	550	KL?
551	551	KL?
552	552	KL?
553	553	KL?
554	554	KL?
555	555	KL?
