A10;153
A11;242
A12;121
A13;147
A14;141
A15;115
A1;101
A2;162
A3a;102
A3b;93
A4;123
A5;206
A6;160
A7;294
A8;131
A9;131
A17;169
A16;286
A18;140
AprovBEDP02-5104;238
B1-5;149
B6;83
C10;187
C11;140
C12;152
C14;129
C15;165
C16;163
C17;159
C18;111
C19;127
C1;98
C2;164
C3;191
C4;130
C5;152
C7;263
C8;243
C9;106
C21;216
C22;182
D;286
ipaH;13
